Mean Depth,Offset corected,ice age,gas age
2384.3,445.0205151,16692.7489,16343.5084
2384.325,446.7776814,16693.3276,16344.04241
2385.326,438.5110808,16715.67809,16364.84839
2386.3,438.8358437,16735.25651,16384.02426
2386.325,437.3030069,16735.79009,16384.55368
2387.299,431.232503,16756.81089,16404.35853
2387.324,431.265022,16757.3352,16404.84594
2388.3,437.2966412,16781.51357,16425.07904
2388.3,431.0198773,16781.51357,16425.07904
2388.325,433.8392673,16782.14487,16425.62379
2389.325,431.5176464,16805.37293,16446.12596
2390.257,430.4385096,16825.12167,16464.80951
2390.282,430.3795521,16825.68096,16465.3351
2391.325,430.9957771,16848.6173,16487.02751
2392.278,429.5011667,16869.22298,16507.38084
2392.328,430.188248,16870.24378,16508.42947
2394.329,431.8920009,16911.33344,16550.34528
2395.328,436.6706955,16932.84006,16571.64686
2396.34,437.0512622,16955.67366,16592.89672
2397.33,435.843425,16977.33482,16613.4042
2398.286,430.2339164,16998.52068,16633.72748
2398.331,433.3960537,16999.50371,16634.6715
2399.306,433.9970836,17022.27083,16656.00191
2399.331,432.5663903,17022.92112,16656.5415
2400.281,437.5554043,17047.63573,16677.32648
2401.333,434.2336137,17075.23335,16701.58418
2402.307,428.855979,17097.27253,16723.08494
2402.307,426.9869334,17097.27253,16723.08494
2402.332,427.7410127,17097.82809,16723.64013
2404.232,421.0268481,17145.60819,16767.24834
2405.258,418.3591383,17172.22058,16791.64292
2405.283,422.000606,17172.83333,16792.23593
2406.286,417.3232714,17196.65332,16814.73809
2406.331,424.8744603,17197.77635,16815.78781
2407.306,423.1106464,17222.93251,16838.54654
2407.336,424.4802995,17223.85275,16839.38783
2408.287,416.1552397,17247.83828,16861.62801
2408.332,426.8670405,17248.90795,16862.64856
2409.233,434.3351764,17271.26975,16883.73929
2410.285,425.9260745,17299.29683,16909.08476
2411.335,426.0141134,17328.14473,16934.87049
2412.285,422.9571529,17353.37703,16957.83824
2414.338,422.3490358,17406.46722,17008.93976
2415.336,422.587564,17431.8605,17034.25515
2416.337,418.7511969,17458.34891,17059.94616
2417.336,414.4182877,17485.6905,17085.44295
2418.292,415.1767646,17510.36256,17108.69964
2418.337,420.6929259,17511.7011,17109.99666
2419.292,414.3987978,17536.13013,17134.45744
2419.337,421.66321,17537.31123,17135.65972
2420.293,410.507893,17562.31606,17160.10663
2420.338,422.9222554,17563.46695,17161.15396
2420.338,416.8115754,17563.46695,17161.15396
2421.314,402.1898097,17590.87443,17186.16585
2421.339,406.3943983,17591.50257,17186.74155
2421.339,405.4240919,17591.50257,17186.74155
2422.313,398.547805,17618.26704,17211.53169
2422.338,404.638275,17618.95826,17212.17505
2424.336,407.1701916,17679.44397,17262.76288
2425.336,410.0915891,17708.25301,17289.11752
2426.336,411.7906262,17732.29665,17314.43544
2427.337,410.2799081,17756.48794,17340.12747
2428.336,407.7973449,17784.75297,17366.7147
2429.336,408.3341488,17812.19551,17392.59308
2430.337,404.1201579,17840.75863,17418.75999
2431.337,401.6575399,17868.22072,17445.10368
2431.337,399.9636571,17868.22072,17445.10368
2432.312,402.279763,17895.2522,17470.98699
2432.337,400.9189244,17895.96854,17471.66686
2434.313,396.2166402,17949.75153,17524.11964
2434.338,400.6288397,17950.50491,17524.81868
2435.338,400.5596906,17978.65457,17551.66238
2436.42,392.8913726,18007.6261,17581.08077
2437.295,389.5171498,18033.773,17605.36767
2437.34,392.2169861,18035.31409,17606.70375
2438.339,389.6286954,18065.51238,17634.12444
2439.389,391.9077669,18095.18656,17663.37776
2440.341,384.3724846,18120.91455,17689.51193
2441.295,374.0193844,18149.43864,17714.95058
2441.315,381.1367742,18150.04483,17715.47941
2441.34,388.0145408,18150.8672,17716.19682
2442.296,376.2345575,18181.02227,17742.45342
2442.341,378.6955988,18182.40264,17743.69365
2444.299,376.1103941,18244.2866,17798.73294
2444.344,382.2871738,18245.73305,17799.99416
2445.341,382.2853298,18276.92027,17828.70708
2446.344,384.3981625,18307.88268,17857.42249
2447.343,381.93467,18342.78059,17886.89925
2448.344,380.3301646,18374.42428,17916.25629
2449.399,380.2724265,18407.6549,17947.84456
2449.419,387.5510638,18408.35177,17948.49977
2449.444,381.7105465,18409.22285,17949.31877
2450.3,379.3246511,18435.36707,17974.70268
2450.345,383.6929854,18436.84248,17976.16695
2451.342,382.1130398,18468.99556,18006.94932
2452.292,375.6359966,18498.70782,18036.45885
2452.317,382.9272312,18499.44455,18037.21195
2452.342,381.9129945,18500.18888,18037.96993
2454.302,380.5654233,18563.73855,18098.88627
2454.347,383.6803747,18565.25765,18100.30263
2455.347,375.9192505,18596.84635,18131.28794
2456.347,376.7996379,18626.38161,18162.35393
2457.348,374.1682717,18658.95574,18193.91733
2458.347,374.5390722,18691.54014,18225.47912
2459.281,374.0367122,18721.30499,18255.31802
2460.35,372.0477966,18757.37367,18289.21468
2461.304,369.8332884,18788.0096,18319.84102
2461.349,371.939424,18789.41983,18321.32215
2462.347,376.2567451,18820.03866,18353.29301
2464.301,375.3867584,18882.17323,18415.60243
2464.346,374.7170813,18883.50066,18416.92947
2465.344,374.7006374,18916.90444,18449.14337
2466.303,373.8511295,18947.11634,18479.2918
2466.348,375.4739838,18948.47637,18480.63079
2467.348,376.6986802,18980.82783,18512.58437
2468.247,382.800514,19009.86179,18541.36838
2469.276,379.9395827,19045.21651,18574.72069
2470.35,375.1031295,19079.64019,18608.11149
2471.399,372.725942,19112.65777,18640.8994
2472.524,378.0104667,19150.02311,18676.19699
2474.306,371.6503341,19208.92835,18731.32424
2474.351,375.5739376,19210.46118,18732.75512
2475.351,371.4929038,19243.92608,18763.84662
2476.352,372.6348646,19278.29896,18795.44615
2477.306,369.2950787,19310.43049,18825.91647
2477.351,373.5373633,19311.75283,18827.18449
2478.307,370.7164365,19342.35187,18857.22506
2478.352,375.3993246,19343.80864,18858.71095
2479.301,376.9318631,19374.02297,18888.68552
2480.352,377.4144261,19409.33305,18922.90325
2481.349,376.3013822,19440.51192,18954.74953
2482.343,375.0619327,19470.24919,18986.67238
2484.351,371.511074,19534.11818,19051.53493
2484.351,371.1923089,19534.11818,19051.53493
2485.35,370.9867535,19564.55529,19082.63077
2486.348,373.3306181,19599.21473,19115.02178
2487.3,373.6895926,19628.90158,19144.94241
2488.341,381.0707355,19661.2265,19178.47364
2489.349,385.6327186,19693.34917,19210.85017
2490.35,376.0597333,19723.23241,19242.70972
2491.299,377.3523355,19751.9723,19272.95113
2492.354,385.0100878,19786.78571,19307.07745
2494.349,380.6793559,19852.62525,19369.9636
2495.517,384.0414623,19890.90992,19406.80483
2496.348,384.6242937,19917.83588,19432.42381
2497.349,374.3044722,19952.40672,19464.25207
2498.349,372.3162899,19984.9109,19496.1227
2499.349,370.859064,20012.27319,19526.96043
2500.351,372.0406431,20041.84898,19559.07498
2501.3,370.3531123,20072.41092,19589.2102
2502.351,369.8631416,20107.62584,19622.7946
2504.351,372.9567014,20173.29566,19685.90568
2505.351,373.7927916,20205.74421,19717.81986
2506.352,372.7196441,20237.66596,19750.03084
2507.353,370.2005342,20267.50662,19782.61615
2508.252,369.2599536,20295.21382,19811.75538
2509.304,368.8225765,20328.78675,19845.68169
2510.355,367.4017752,20364.43388,19880.09699
2511.355,365.8847779,20396.34571,19911.85808
2512.355,369.5875765,20428.06307,19944.4816
2514.357,373.2560544,20491.7812,20008.50914
2515.504,369.6180086,20528.41923,20044.43911
2516.358,372.560017,20556.47919,20072.85341
2517.358,370.446357,20585.79444,20105.06793
2518.358,364.2875178,20615.45019,20137.54346
2519.36,365.2364899,20646.49172,20170.08156
2520.359,375.2297065,20677.66951,20202.45619
2521.361,377.3455461,20708.72318,20234.26606
2522.363,372.3347679,20739.26666,20265.49478
2524.363,368.7774774,20799.34904,20327.98842
2525.418,371.2791799,20833.43057,20360.5649
2526.365,372.5790235,20863.75261,20389.46924
2527.367,372.3108283,20896.13113,20420.01342
2528.415,369.7572126,20930.60603,20452.01349
2529.367,366.9182195,20962.12561,20481.34228
2530.368,365.369986,20996.0053,20512.91589
2531.368,360.606043,21032.12636,20544.70791
2532.319,361.3446875,21064.99667,20573.81207
2534.369,370.1328394,21133.04964,20637.88515
2535.412,367.8640671,21168.91585,20672.09737
2536.371,367.8936656,21200.04454,20702.94724
2537.421,371.1878413,21234.72151,20737.48842
2538.663,370.2679528,21276.69076,20778.59802
2539.37,370.7574512,21299.99397,20801.96054
2540.373,373.0707084,21337.3538,20836.30679
2541.373,372.3375337,21374.46993,20869.83966
2542.373,371.2140588,21408.79277,20903.20043
2544.375,374.9640385,21482.3248,20972.3337
2545.375,379.3345256,21516.15812,21005.74931
2546.376,379.39183,21550.51637,21039.68911
2546.376,379.5841014,21550.51637,21039.68911
2547.376,371.4848394,21583.58801,21073.2853
2548.432,370.8013453,21619.4316,21108.54178
2549.377,369.1055559,21653.69369,21141.30889
2550.377,371.7150435,21688.53192,21175.05776
2551.377,371.9818648,21723.12944,21209.06721
2552.377,374.6263009,21757.92898,21244.28467
