Mean Depth ,CH4nNormalized,mean total air,ice age,gas age ,,Ca2+,CH4cNormalized,Top Depth ,Bottom Depth
1433.745,741.1040953,0.088077886,12392.41818,11628.51818,,116.37,737.0886189,1433.71,1433.78
1433.815,736.7906886,0.086953873,12395.47273,11630.17273,,137.5275,731.9838057,1433.78,1433.85
1434.83,655.5828568,0.089243704,12441.2,11658.50909,,118.1255556,651.5600497,1434.79,1434.87
1435.605,620.2643385,0.092956791,12475.96364,11684.62727,,122.875,616.2469361,1435.56,1435.65
1435.93,565.5872636,0.088218692,12491.32727,11695.85455,,124.1077778,561.3116218,1435.89,1435.97
1436.01,566.8638341,0.088355597,12495.10909,11698.61818,,130.1766667,562.3860618,1435.97,1436.05
1436.64,515.1041871,0.089213871,12525.89091,11723.6,,146.6166667,510.1094356,1436.60,1436.68
1436.72,514.9192653,0.089545637,12529.67273,11726.8,,146.7133333,509.9397384,1436.68,1436.76
1437.2,510.8177625,0.093875127,12552.36364,11746.09091,,177.5072727,505.0709299,1437.15,1437.25
1437.25,518.7301699,0.094188225,12554.72727,11748.18182,,169.6866667,513.2547928,1437.21,1437.29
1437.38,512.3187116,0.094458778,12560.87273,11753.61818,,182.49,506.4470681,1437.34,1437.42
1437.51,510.849705,0.09271111,12567.01818,11759.05455,,180.58,504.92999,1437.47,1437.55
1437.65,509.0849628,0.094148524,12573.63636,11764.90909,,135.1036364,504.7236578,1437.6,1437.7
1437.735,504.1605838,0.09588888,12577.65455,11768.4,,195.7,497.9578163,1437.70,1437.77
1437.805,509.8766614,0.096989223,12580.96364,11771.2,,171.685,504.4967912,1437.77,1437.84
1437.805,511.9169578,0.095585843,12580.96364,11771.2,,173.286,506.4071959,1437.76,1437.85
1437.875,507.5909575,0.096689211,12584.27273,11774,,150.855,502.8491424,1437.84,1437.91
1438.3,522.8055355,0.095611564,12604.90909,11791,,212.5272727,516.049885,1438.25,1438.35
1438.85,505.7844547,0.094227814,12636.27273,11812.90909,,222.3718182,498.6120703,1438.80,1438.90
1439.4,525.2400299,0.091853723,12661.36364,11833.90909,,142.64,520.5204049,1439.35,1439.45
1440.005,515.6103301,0.093668703,12689.77273,11857.00909,,153.152,510.6410772,1439.96,1440.05
1441.045,524.0507205,0.092606049,12736.29091,11895.55455,,149.54,519.1429873,1441.00,1441.09
1441.59,515.0925766,0.093310808,12764.10909,11914.16364,,109.6566667,511.5209502,1441.55,1441.63
1442.205,508.9767519,0.09183497,12796.53636,11932.43636,,94.62,505.8453574,1442.16,1442.25
1443.24,516.5685335,0.090805295,12845.67273,11973.74545,,70.28333333,514.2161717,1443.20,1443.28
1443.79,513.0901894,0.090531903,12868.67273,11997.81818,,61.36555556,511.0301005,1443.75,1443.83
1444.405,497.7412127,0.09350125,12894.2,12025.96364,,33.129,496.6643661,1444.36,1444.45
1445.44,504.0317973,0.08758183,12935.52727,12076.96364,,31.52777778,502.9377344,1445.40,1445.48
1445.99,505.890758,0.089530235,12956.6,12104.18182,,26.41,504.9942346,1445.95,1446.03
1446.605,509.8047089,0.090032296,12980.43636,12138.49091,,30.056,508.7901067,1446.56,1446.65
1447.64,502.8021859,0.090722642,13016.74545,12203.4,,36.11,501.5924941,1447.60,1447.68
1448.19,503.168444,0.088275642,13040.67273,12236.47273,,56.77,501.2139203,1448.15,1448.23
1448.805,501.1635473,0.092229399,13066.58182,12274.49091,,46.026,499.6468574,1448.76,1448.85
1449.84,495.8137279,0.094685848,13113.67273,12340.4,,57.10777778,493.980683,1449.80,1449.88
1450.39,511.7692451,0.09437232,13136.96364,12373.4,,54.93,510.0002448,1450.35,1450.43
1451.005,507.0422577,0.093553089,13166.58182,12409.91818,,88.336,504.1725179,1450.96,1451.05
1451.49,502.6195182,0.094978385,13187.81818,12437.25455,,64.69,500.5494946,1451.45,1451.53
1452.1,500.1812518,0.09463304,13215.72727,12472,,64.40666667,498.1127735,1452.06,1452.14
1452.23,500.8025116,0.094900536,13221.87273,12479.8,,49.03,499.2323073,1452.19,1452.27
1452.36,497.5071034,0.09537221,13228.01818,12487.6,,66.32,495.3936844,1452.32,1452.4
1452.5,500.7381495,0.096268437,13234.63636,12496,,51.15727273,499.123098,1452.45,1452.55
1452.65,501.0958341,0.094883584,13241.72727,12504.09091,,57.33222222,499.25942,1452.61,1452.69
1452.78,498.5681387,0.093206913,13247.87273,12510.70909,,52.93,496.8422345,1452.74,1452.82
