Table S2.,,,
Dongge Cave stalagmite D4 Oxygen Isotope Data,,,
Years,delta,18O,(VPDB)
,5111.2,-8.4,
,5136.6,-8.05,
,5162,-7.82,
,5177.3,-7.77,
,5190.2,-8.47,
,5203.1,-8.44,
,5215.9,-7.88,
,5228.8,-8.49,
,5241.6,-8.65,
,5254.5,-8.4,
,5267.3,-8.38,
,5280.2,-8.57,
,5293.1,-8.15,
,5305.9,-8.49,
,5318.8,-8.35,
,5331.6,-8.45,
,5344.5,-8.5,
,5357.3,-8.59,
,5370.2,-8.46,
,5383,-8.65,
,5389.5,-8.55,
,5395.9,-8.66,
,5402.4,-8.78,
,5405,-8.7,
,5414.1,-8.56,
,5420.5,-8.52,
,5427,-8.73,
,5433.5,-8.66,
,5440,-8.12,
,5452.9,-8.31,
,5459.4,-8.69,
,5465.9,-8.91,
,5472.4,-8.05,
,5478.8,-8.28,
,5485.3,-8.81,
,5491.8,-8.73,
,5498.3,-8.93,
,5504.7,-8.49,
,5511.2,-8.59,
,5517.7,-8.46,
,5524.2,-8.76,
,5530.6,-8.85,
,5537.1,-8.38,
,5543.6,-8.91,
,5550.1,-8.67,
,5556.6,-8.56,
,5563,-8.51,
,5569.5,-8.64,
,5576,-8.97,
,5595.4,-8.42,
,5621.3,-8.82,
,5647.2,-9.17,
,5673.1,-9.17,
,5699,-9.04,
,5724.9,-8.57,
,5750.8,-9.28,
,5782.1,-8.79,
,5825.8,-8.95,
,5869.5,-8.78,
,5913.2,-9.06,
,5956.9,-8.71,
,6000.6,-8.81,
,6044.3,-8.96,
,6088,-8.89,
,6131.7,-9.06,
,6175.4,-8.82,
,6219.1,-8.76,
,6262.8,-9.03,
,6306.5,-8.87,
,6343.5,-8.82,
,6376.2,-8.55,
,6408.8,-8.9,
,6441.4,-8.95,
,6474,-8.96,
,6506.6,-8.9,
,6539.2,-8.5,
,6578.4,-8.8,
,6620.4,-8.18,
,6662.4,-8.57,
,6704.3,-8.43,
,6746.3,-8.78,
,6788.2,-8.94,
,6830.2,-8.31,
,6872.2,-8.55,
,6914.1,-8.94,
,6956.1,-8.47,
,6998,-8.72,
,7031.5,-8.83,
,7064.9,-8.57,
,7094.9,-8.96,
,7128.4,-9.31,
,7161.8,-8.78,
,7195.2,-9.08,
,7228.6,-8.92,
,7262,-9.01,
,7295.4,-9.23,
,7328.9,-9.19,
,7362.3,-8.99,
,7395.7,-9.32,
,7455.4,-9.17,
,7518,-9.2,
,7580.6,-8.92,
,7643.2,-9.13,
,7694.2,-9.15,
,7718.1,-9.2,
,7742.1,-8.68,
,7766.1,-9.06,
,7790,-9.17,
,7814,-9.28,
,7837.9,-9.2,
,7861.9,-9,
,7885.9,-8.95,
,7974.5,-9.07,
,7986.5,-8.8,
,7998.5,-9.08,
,8010.5,-8.56,
,8015.3,-8.96,
,8017.7,-9.2,
,8020.1,-8.91,
,8022.4,-8.84,
,8027.2,-8.91,
,8029.6,-9.26,
,8032,-9.01,
,8034.4,-8.75,
,8039.2,-8.82,
,8041.6,-9.13,
,8044,-8.7,
,8046.4,-8.59,
,8048.8,-8.95,
,8051.2,-8.14,
,8053.6,-8.63,
,8056,-8.69,
,8058,-8.8,
,8061,-8.7,
,8063,-8.61,
,8064,-8.7,
,8066.1,-8.8,
,8068.1,-8.74,
,8070.1,-8.71,
,8071.1,-8.7,
,8072.1,-8.93,
,8073.1,-8.64,
,8074.1,-8.47,
,8075.1,-8.64,
,8076.1,-8.86,
,8077.1,-8.18,
,8078.1,-8.26,
,8080.2,-8.71,
,8081.2,-8.71,
,8082.2,-8.67,
,8083.2,-8.58,
,8084.2,-8.72,
,8085.2,-8.61,
,8086.2,-8.7,
,8087.2,-8.83,
,8088.2,-8.44,
,8090.2,-8.45,
,8091.2,-8.57,
,8092.2,-8.68,
,8093.3,-8.56,
,8094.3,-8.57,
,8095.3,-8.56,
,8096.3,-8.69,
,8097.3,-8.49,
,8098.3,-8.51,
,8100.3,-8.8,
,8101.3,-8.96,
,8102.3,-8.84,
,8103.3,-8.71,
,8104.3,-8.68,
,8105.3,-8.65,
,8106.3,-8.68,
,8107.4,-8.76,
,8108.4,-8.64,
,8109.4,-8.76,
