GISP2 depth,[Ca2+] GISP2
(m),(ppb)
848.2,6.11
848.2,7.97
851.38,7.97
851.38,5.95
854.48,5.95
854.48,6.82
857.57,6.82
857.57,5.92
860.67,5.92
860.67,7.46
863.5,7.46
863.5,7.41
866.47,7.41
866.47,7.27
869.38,7.27
869.38,6.83
872.25,6.83
872.25,6.43
875.36,6.43
875.36,5.54
878.41,5.54
878.41,7.06
881.66,7.06
881.66,7.04
884.56,7.04
884.56,6.02
887.59,6.02
887.59,5.55
890.94,5.55
890.94,5.82
894.18,5.82
894.18,6.71
897.25,6.71
897.25,6.65
900.19,6.65
900.19,6.71
903.43,6.71
903.43,5.92
906.3,5.92
906.3,6.99
909.52,6.99
909.52,6.72
912.21,6.72
912.21,4.53
915.26,4.53
915.26,7.91
918.12,7.91
918.12,6.25
921.52,6.25
921.52,7.31
924.79,7.31
924.79,8.61
928.2,8.61
928.2,7.77
931.54,7.77
931.54,7.55
934.73,7.55
934.73,8.7
937.66,8.7
937.66,6.22
940.42,6.22
940.42,7.53
943.18,7.53
943.18,6.62
946.18,6.62
946.18,6.86
949.36,6.86
949.36,6.64
952.58,6.64
952.58,7
955.89,7
955.89,8.26
958.89,8.26
958.89,8.36
961.77,8.36
961.77,8.46
964.91,8.46
964.91,7.05
967.74,7.05
967.74,6.91
970.68,6.91
970.68,5.55
973.49,5.55
973.49,6.41
976.21,6.41
976.21,6.07
978.77,6.07
978.77,6.15
981.81,6.15
981.81,6.83
984.65,6.83
984.65,6.21
987.74,6.21
987.74,7.61
990.64,7.61
990.64,9.24
993.51,9.24
993.51,7.28
996.6,7.28
996.6,8.21
999.66,8.21
999.66,7.41
1002.85,7.41
1002.85,8.83
1005.86,8.83
1005.86,8.5
1008.73,8.5
1008.73,7.43
1011.46,7.43
1011.46,10.45
1014.93,10.45
1014.93,7.86
1017.94,7.86
1017.94,7.53
1020.82,7.53
1020.82,9.21
1024.09,9.21
1024.09,8.39
1026.94,8.39
1026.94,8
1029.9,8
1029.9,13.3
1032.69,13.3
1032.69,8.67
1035.38,8.67
1035.38,10.55
1038.11,10.55
1038.11,9.21
1040.8,9.21
1040.8,10.69
1043.92,10.69
1043.92,10.03
1046.96,10.03
1046.96,8.7
1049.91,8.7
1049.91,8.72
1052.68,8.72
1052.68,9.01
1055.51,9.01
1055.51,7.83
1058.61,7.83
1058.61,8.4
1061.11,8.4
1061.11,9.16
1063.72,9.16
1063.72,8.63
1066.41,8.63
1066.41,10.16
1069.06,10.16
1069.06,8.56
1071.85,8.56
1071.85,9.19
1074.58,9.19
1074.58,8.37
1077.48,8.37
1077.48,8.3
1080.14,8.3
1080.14,9.93
1082.72,9.93
1082.72,7.83
1085.37,7.83
1085.37,9.19
1087.79,9.19
1087.79,9.51
1090.46,9.51
1090.46,10.1
1092.77,10.1
1092.77,10.11
1095.64,10.11
1095.64,9.98
1098.12,9.98
1098.12,7.97
1100.68,7.97
1100.68,8.03
1103.38,8.03
1103.38,7.68
1105.92,7.68
1105.92,8.92
1108.49,8.92
1108.49,9
1111.19,9
1111.19,10
1114.02,10
1114.02,8.25
1116.87,8.25
1116.87,9.54
1119.3,9.54
1119.3,10.64
1121.91,10.64
1121.91,16.76
1124.39,16.76
1124.39,8.96
1127.11,8.96
1127.11,8.04
1129.9,8.04
1129.9,7.44
1132.42,7.44
1132.42,5.36
1135.07,5.36
1135.07,7.26
1137.44,7.26
1137.44,8.96
1139.76,8.96
1139.76,7.87
1142.37,7.87
1142.37,6.87
1145,6.87
1145,6.72
1147.7,6.72
1147.7,6.94
1149.97,6.94
1149.97,8.43
1152.47,8.43
1152.47,9.52
1154.9,9.52
1154.9,7.39
1157.43,7.39
1157.43,8.61
1160.17,8.61
1160.17,8.28
1162.79,8.28
1162.79,9.37
1165.35,9.37
1165.35,8.6
1167.77,8.6
1167.77,7.81
1170.28,7.81
1170.28,7.41
1173,7.41
1173,9.23
1175.54,9.23
1175.54,9.56
1178.1,9.56
1178.1,8.88
1180.67,8.88
1180.67,6.82
1182.97,6.82
1182.97,7.04
1185.33,7.04
1185.33,7.03
1187.76,7.03
1187.76,10.09
1190.09,10.09
1190.09,7.8
1192.34,7.8
1192.34,7.55
1194.74,7.55
1194.74,7.69
1197.29,7.69
1197.29,8.7
1199.94,8.7
1199.94,8.5
1202.53,8.5
1202.53,7.2
1205.06,7.2
1205.06,6.71
1207.56,6.71
1207.56,7.35
1209.96,7.35
1209.96,7.82
1212.31,7.82
1212.31,6.76
1214.83,6.76
1214.83,7.97
