Mean Depth ,Gravity/solubility corrected,mean total air,ice age,gas age,,Ca2+,CH4xs corrected,Bottom Depth,Mean Depth 
1844.44,470.1508208,0.094423773,16723.1448,15665.40534,,228.22,462.3562756,1844.49,1153.423138
1844.44,473.7911888,0.094464619,16723.1448,15665.40534,,228.22,466.0000139,1844.49,1155.245007
1844.75,469.4098959,0.09421,16737.08041,15681.62309,,221.5,461.8280854,1844.8,1153.314043
1844.75,471.2246043,0.09332,16737.08041,15681.62309,,221.5,463.5700057,1844.8,1154.185003
1845.45,471.9399652,0.09281,16768.41727,15718.79823,,213.59,464.5181283,1845.5,1155.009064
1845.45,471.522335,0.09306,16768.41727,15718.79823,,213.59,464.1203785,1845.5,1154.810189
1845.95,471.0766514,0.09472,16790.80074,15745.35189,,228.68,463.2910801,1846,1154.64554
1845.95,472.7307441,0.09394,16790.80074,15745.35189,,228.68,464.8801309,1846,1155.440065
1846.45,472.3111407,0.09407,16813.18421,15771.90555,,199.73,465.4637701,1846.5,1155.981885
1846.45,472.3993821,0.09441,16813.18421,15771.90555,,199.73,465.5768843,1846.5,1156.038442
1846.95,473.4035149,0.0939,16835.56768,15798.45922,,238.59,465.2093257,1847,1156.104663
1846.95,475.2550693,0.09496,16835.56768,15798.45922,,238.59,467.1527737,1847,1157.076387
1847.45,469.6269529,0.09433,16857.95115,15825.01288,,190.21,463.123966,1847.5,1155.311983
1847.45,469.2860909,0.09413,16857.95115,15825.01288,,190.21,462.7693793,1847.5,1155.13469
1847.95,468.3088327,0.09516,16880.33462,15851.56655,,210.51,461.1747673,1848,1154.587384
1847.95,468.9891936,0.0947,16880.33462,15851.56655,,210.51,461.8203908,1848,1154.910195
1848.45,469.5741921,0.09404,16902.71809,15878.12021,,217.11,462.1289886,1848.5,1155.314494
1848.45,461.9531913,0.09424,16902.71809,15878.12021,,217.11,454.5232707,1848.5,1151.511635
1848.955,481.8818738,0.09494,16925.32539,15904.93941,,214.54,474.5944192,1849,1161.79721
1848.955,476.9799877,0.09433,16925.32539,15904.93941,,214.54,469.645729,1849,1159.322864
1849.25,470.0203763,0.0948155,16938.53164,15920.60608,,195.6563636,463.365606,1849.3,1156.332803
1849.25,466.9079143,0.094628416,16938.53164,15920.60608,,195.6563636,460.2399873,1849.3,1154.769994
1849.45,465.6497327,0.09488,16947.48502,15931.22754,,191.46,459.1418297,1849.5,1154.320915
1849.45,462.2476423,0.09416,16947.48502,15931.22754,,191.46,455.6899384,1849.5,1152.594969
1849.75,473.6315978,0.092749011,16960.91511,15947.15974,,209.02,466.3638979,1849.8,1158.081949
1849.75,476.6524291,0.093012851,16960.91511,15947.15974,,209.02,469.4053448,1849.8,1159.602672
1849.95,466.4372223,0.09439,16969.86849,15957.78121,,209.02,459.2962399,1850,1154.64812
1849.95,463.6078483,0.09493,16969.86849,15957.78121,,209.02,456.5073737,1850,1153.253687
1850.42,482.1534031,0.09466,16990.90896,15982.74165,,234.33,474.170345,1850.47,1162.320173
1850.42,476.3995468,0.09504,16990.90896,15982.74165,,234.33,468.448577,1850.47,1159.459288
1850.65,484.1836414,0.094716308,17001.20535,15994.95634,,288.35,474.3658539,1850.7,1162.532927
1850.65,483.2313785,0.094255685,17001.20535,15994.95634,,288.35,473.3656121,1850.7,1162.032806
1850.95,479.5684633,0.09409,17014.63543,16010.88853,,288.35,469.6856603,1851,1160.34283
1850.95,478.9102343,0.09468,17014.63543,16010.88853,,288.35,469.0884916,1851,1160.044246
1851.16,485.3789825,0.094006888,17024.03649,16022.04107,,242.25,477.0685708,1851.21,1164.139285
1851.16,484.859505,0.09336466,17024.03649,16022.04107,,242.25,476.4919284,1851.21,1163.850964
1851.645,487.7485247,0.0945,17045.74846,16047.79813,,233.88,479.7672251,1851.7,1165.733613
1851.645,491.6542724,0.09362,17045.74846,16047.79813,,233.88,483.5977661,1851.7,1167.648883
1852.325,484.7560473,0.09498,17076.0786,16085.18049,,226.28,477.0729689,1852.4,1164.736484
1852.925,477.988469,0.0959,17102.0637,16127.01867,,212.62,470.8385604,1853,1161.91928
1853.15,476.7022165,0.094671885,17111.80811,16142.70798,,194.24,470.0855984,1853.2,1161.642799
1853.15,475.8943398,0.094237888,17111.80811,16142.70798,,194.24,469.2472499,1853.2,1161.223625
1853.35,465.7587134,0.09452567,17120.46981,16156.65404,,194.24,459.1318605,1853.4,1156.26593
1853.35,471.0862603,0.09391791,17120.46981,16156.65404,,194.24,464.4165237,1853.4,1158.908262
1853.45,464.3046465,0.09541,17124.80066,16163.62707,,194.24,457.7390248,1853.5,1155.619512
1853.45,461.0882376,0.09584,17124.80066,16163.62707,,194.24,454.5525727,1853.5,1154.026286
1853.65,464.8273851,0.094966008,17133.46236,16177.57313,,217.73,457.4335712,1853.7,1155.566786
1853.65,465.0848705,0.094372421,17133.46236,16177.57313,,217.73,457.6445507,1853.7,1155.672275
1853.95,456.2268545,0.09532,17146.41148,16199.06219,,217.73,448.8603203,1854,1151.43016
1853.95,454.2775817,0.09529,17146.41148,16199.06219,,217.73,446.9091997,1854,1150.4546
1854.05,458.870675,0.095401891,17150.61204,16207.74512,,205.31,451.930482,1854.1,1153.015241
1854.05,464.1489008,0.095694996,17150.61204,16207.74512,,205.31,457.229965,1854.1,1155.664982
1854.35,454.1803951,0.09498,17162.73596,16240.06358,,194.96,447.5610724,1854.41,1150.985536
1854.35,453.8892571,0.09579,17162.73596,16240.06358,,194.96,447.3255808,1854.41,1150.86779
1854.625,463.3018652,0.09494572,17174.03776,16265.31303,,202.51,456.4234322,1854.68,1155.551716
1854.625,468.6060103,0.093998469,17174.03776,16265.31303,,202.51,461.6582613,1854.68,1158.169131
1854.95,463.1307725,0.09494,17188.23512,16278.85907,,202.51,456.2516304,1855,1155.625815
1854.95,462.8971503,0.09493,17188.23512,16278.85907,,202.51,456.0176282,1855,1155.508814
1855.45,469.2473987,0.09578,17210.31042,16300.48867,,222.91,461.7418745,1855.5,1158.620937
1855.45,464.0637434,0.0955,17210.31042,16300.48867,,222.91,456.536437,1855.5,1156.018218
1855.95,469.7827664,0.09398,17232.38571,16322.11827,,249.69,461.2145545,1856,1158.607277
1855.95,467.1024187,0.09389,17232.38571,16322.11827,,249.69,458.5256851,1856,1157.262843
1856.45,460.671627,0.09432,17254.46101,16343.74787,,251.27,452.0804533,1856.5,1154.290227
1856.45,460.130427,0.0946,17254.46101,16343.74787,,251.27,451.5643867,1856.5,1154.032193
1856.95,462.4074508,0.09347,17276.53631,16365.37748,,215.1,454.9863387,1857,1155.993169
1856.95,456.9181706,0.09385,17276.53631,16365.37748,,215.1,449.527024,1857,1153.263512
1857.35,462.4992139,0.09403,17294.19655,16382.68116,,266.19,453.3694807,1857.4,1155.38474
1857.35,463.6097218,0.09403,17294.19655,16382.68116,,266.19,454.4801681,1857.4,1155.940084
1857.75,448.8399851,0.09503,17311.85679,16399.98484,,265,439.8468636,1857.8,1148.823432
1857.75,449.0077333,0.09596,17311.85679,16399.98484,,265,440.1023533,1857.8,1148.951177
1858.5125,448.0126176,0.09574,17347.17795,16440.17041,,267.89125,438.9893825,1858.55,1148.769691
1858.925,449.162135,0.0959,17366.75158,16463.9336,,271.588125,440.0291503,1859,1149.514575
1859.45,446.1165061,0.09395,17391.66348,16494.17766,,238.5,437.9294392,1859.5,1148.71472
