NEEM ion concentration data in 10 yr resolution,,,,,,
"Reference: Schüpbach et al., Greenland records of aerosol source and atmospheric lifetime changes from the Eemian to the Holocene, Nature Communications, 2018",,,,,,
"further reference: Rasmussen et al., A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Climate of the Past 9, 2713–2730, doi:10.5194/cp-9-2713-2013 (2013).",,,,,,
,,,,,,
NEEM continuous Methane Concentration Data,,,,,,
"Reference: Chappellaz et al., High resolution glacial and delacial record of atmospheric methane by continuous-flow and laser spectrometer analysis along the NEEM ice core.  EGU Climate of the Past, 2013.",,,,,,
,,,,,,
NEEM Ca2+ (dust),,,,NEEM Methane,,
ageGICC05_mid (yr BP),depth_mid (m),Ca (ng/g),,Age (b2k),Depth (m),RawMethaneMean (ppbv)
23789.9845,1602.7185,846.93,,NaN,NaN,NaN
23799.9877,1602.8118,650.94,,27302.6461,1648.8488,387.04
23810.0177,1602.9053,580.19,,27315.0262,1649.0342,387.04
23820.0209,1602.9985,794.82,,27315.0262,1649.0342,386.58
23829.9973,1603.0915,711.25,,27327.4995,1649.2196,386.58
23839.9572,1603.1843,766.51,,27327.4995,1649.2196,387.19
23849.9663,1603.2758,578.73,,27339.9727,1649.405,387.19
23860.0200,1603.3655,489.55,,NaN,NaN,NaN
23870.0245,1603.4543,401.84,,27407.3863,1650.3586,409.43
23880.0009,1603.5428,657.90,,27421.5418,1650.544,409.43
23890.0055,1603.6315,594.92,,NaN,NaN,NaN
23900.0107,1603.7203,600.58,,27477.4,1651.166,417.31
23909.9962,1603.8080,802.92,,27479.8136,1651.1955,417.31
23919.9964,1603.8945,750.24,,NaN,NaN,NaN
23930.0036,1603.9805,765.54,,27488.8136,1651.3055,421.52
23940.0109,1604.0665,838.29,,27502.825,1651.4767,421.52
23950.0182,1604.1525,590.12,,27502.825,1651.4767,414.2
23960.0255,1604.2385,745.23,,27516.8364,1651.648,414.2
23970.0506,1604.3250,849.94,,NaN,NaN,NaN
23980.0387,1604.4125,876.74,,27642.5629,1653.2288,438.16
23989.9936,1604.5008,704.21,,27658.2835,1653.4315,438.16
23999.9982,1604.5895,859.08,,27658.2835,1653.4315,433.43
24010.0027,1604.6783,814.63,,27674.1336,1653.6343,433.43
24019.9791,1604.7668,719.31,,27674.1336,1653.6343,431.99
24029.9909,1604.8558,743.47,,27689.9836,1653.837,431.99
24039.9982,1604.9460,887.17,,NaN,NaN,NaN
24050.0000,1605.0375,850.98,,27728.954,1654.2849,412.19
24060.0091,1605.1293,717.54,,27750.3375,1654.5039,412.19
24069.9909,1605.2208,810.04,,27750.3375,1654.5039,388.18
24080.0000,1605.3125,736.25,,27774.2324,1654.723,388.18
24090.0018,1605.4040,737.76,,27774.2324,1654.723,374.27
24100.0091,1605.4943,684.10,,27798.1273,1654.942,374.27
24110.0209,1605.5833,509.07,,NaN,NaN,NaN
24119.9973,1605.6718,756.22,,27882.931,1655.5348,383.21
24130.0018,1605.7605,513.59,,27907.0037,1655.7045,383.21
24140.0064,1605.8493,429.80,,27907.0037,1655.7045,386.7
24150.0415,1605.9385,519.00,,27931.0764,1655.8743,386.7
24160.0406,1606.0310,389.27,,27931.0764,1655.8743,385.52
24169.9818,1606.1275,284.57,,27955.1491,1656.044,385.52
24179.9855,1606.2258,396.36,,NaN,NaN,NaN
24190.0145,1606.3243,277.20,,28021.3861,1656.494,376.14
24200.0182,1606.4225,433.12,,28050.871,1656.709,376.14
24209.9964,1606.5205,421.72,,28050.871,1656.709,372.74
24219.9745,1606.6185,238.78,,28078.2355,1656.924,372.74
24229.9782,1606.7168,394.40,,28078.2355,1656.924,379.79
24240.0073,1606.8153,374.77,,28105.6,1657.139,379.79
24250.0109,1606.9135,304.32,,NaN,NaN,NaN
24259.9899,1607.0115,298.86,,28164.1988,1657.581,382.67
24269.9954,1607.1088,288.12,,28192.7922,1657.802,382.67
24280.0200,1607.2045,249.63,,28192.7922,1657.802,383.31
24290.0118,1607.2993,386.65,,28220.5197,1658.023,383.31
24299.9773,1607.3938,291.06,,28220.5197,1658.023,384.83
24309.9691,1607.4885,221.76,,28248.2473,1658.244,384.83
24320.0054,1607.5838,321.32,,NaN,NaN,NaN
24330.0127,1607.6800,246.15,,28307.7256,1658.7394,390.81
24339.9818,1607.7775,401.77,,28330.8104,1658.9403,390.81
24349.9855,1607.8758,323.44,,28330.8104,1658.9403,388.41
24360.0145,1607.9743,311.49,,28353.4543,1659.1411,388.41
24370.0182,1608.0725,423.88,,28353.4543,1659.1411,388.49
24379.9923,1608.1703,322.94,,28376.0982,1659.342,388.49
24389.9995,1608.2675,325.49,,NaN,NaN,NaN
24400.0223,1608.3643,501.89,,28449.3464,1660.0028,407.68
24410.0232,1608.4608,423.03,,28468.0823,1660.2089,407.68
24420.0241,1608.5573,303.98,,28468.0823,1660.2089,411.11
24430.0250,1608.6538,319.53,,28486.8182,1660.415,411.11
24440.0218,1608.7490,287.47,,NaN,NaN,NaN
24450.0091,1608.8418,288.82,,28524.5298,1660.8917,420.9
24459.9909,1608.9333,298.22,,28540.8481,1661.1028,420.9
24469.9727,1609.0248,252.03,,28540.8481,1661.1028,421.85
24479.9818,1609.1165,312.69,,28556.9695,1661.3139,421.85
24490.0182,1609.2085,246.97,,28556.9695,1661.3139,429.77
24500.0382,1609.2993,290.63,,28573.0909,1661.525,429.77
24510.0227,1609.3875,310.15,,NaN,NaN,NaN
24519.9882,1609.4745,312.87,,28602.5004,1661.9949,435.26
24529.9823,1609.5618,270.79,,28615.4014,1662.2136,435.26
24540.0050,1609.6493,297.47,,28615.4014,1662.2136,439.64
24549.9991,1609.7365,310.01,,28627.7289,1662.4323,439.64
24560.0097,1609.8243,220.22,,28627.7289,1662.4323,443.53
24570.0356,1609.9135,370.01,,28640.0527,1662.651,443.53
24580.0245,1610.0035,457.66,,NaN,NaN,NaN
24590.0064,1610.0935,446.51,,28662.7139,1663.0808,452.59
24599.9882,1610.1835,558.54,,28674.1244,1663.2972,452.59
24609.9700,1610.2735,432.49,,28674.1244,1663.2972,454.45
24619.9219,1610.3628,484.42,,28685.5349,1663.5136,454.45
24629.9369,1610.4500,585.89,,28685.5349,1663.5136,457.85
24640.0136,1610.5355,419.22,,28696.9455,1663.73,457.85
24650.0295,1610.6203,426.11,,NaN,NaN,NaN
24660.0159,1610.7048,470.15,,28720.4252,1664.2244,462.41
24670.0023,1610.7893,446.69,,28730.9734,1664.4323,462.41
24679.9886,1610.8738,601.43,,28730.9734,1664.4323,463
24690.0045,1610.9585,401.07,,28741.934,1664.6401,463
24700.0205,1611.0433,289.66,,28741.934,1664.6401,465.07
24710.0068,1611.1278,299.49,,28752.8945,1664.848,465.07
24719.9932,1611.2123,400.01,,NaN,NaN,NaN
24729.9795,1611.2968,415.18,,28778.0886,1665.2951,470.38
24739.9955,1611.3815,442.70,,28790.0953,1665.5117,470.38
24750.0114,1611.4663,473.40,,28790.0953,1665.5117,469.1
24759.9977,1611.5508,503.47,,28801.9113,1665.7284,469.1
24769.9841,1611.6353,434.83,,28801.9113,1665.7284,470.43
24779.9705,1611.7198,532.91,,28813.7273,1665.945,470.43
24789.9864,1611.8045,507.23,,NaN,NaN,NaN
24800.0023,1611.8893,384.77,,28835.7274,1666.2914,453.43
24810.0153,1611.9740,347.97,,28850.9522,1666.5298,453.43
24820.0212,1612.0613,476.76,,28850.9522,1666.5298,439.49
24829.9955,1612.1525,359.43,,28866.5562,1666.7682,439.49
24839.9718,1612.2455,343.44,,NaN,NaN,NaN
24849.9750,1612.3388,377.65,,28876.3089,1666.9172,419.51
24860.0050,1612.4323,409.56,,28884.6727,1667.045,419.51
24870.0115,1612.5255,516.60,,NaN,NaN,NaN
24880.0229,1612.6178,320.37,,28917.5121,1667.4474,402.53
24890.0336,1612.7085,278.22,,28933.189,1667.6319,402.53
24900.0155,1612.7985,308.29,,NaN,NaN,NaN
24909.9973,1612.8885,386.56,,28955.586,1667.8559,394.69
24919.9791,1612.9785,390.88,,28984.2,1668.142,394.69
24929.9868,1613.0688,656.78,,NaN,NaN,NaN
24940.0073,1613.1610,420.36,,29024.8845,1668.6269,390
24950.0114,1613.2563,278.55,,29041.4962,1668.8343,390
24960.0123,1613.3528,220.22,,29041.4962,1668.8343,386.77
24970.0132,1613.4493,212.56,,29057.709,1669.0416,386.77
24980.0141,1613.5458,371.95,,29057.709,1669.0416,386.48
24989.9889,1613.6418,277.15,,29073.9218,1669.249,386.48
25000.0012,1613.7355,348.70,,NaN,NaN,NaN
25010.0300,1613.8265,368.51,,29116.3663,1669.8044,382.21
25020.0118,1613.9165,374.57,,29131.1872,1669.9816,382.21
25029.9936,1614.0065,307.78,,29131.1872,1669.9816,382.06
25039.9755,1614.0965,314.62,,29146.0082,1670.1588,382.06
25049.9608,1614.1865,334.31,,29146.0082,1670.1588,380.84
25059.9795,1614.2763,336.28,,29160.8291,1670.336,380.84
25070.0200,1614.3655,534.59,,NaN,NaN,NaN
25080.0245,1614.4543,506.89,,29203.2691,1670.8779,380.15
25090.0009,1614.5428,549.47,,29219.2173,1671.0629,380.15
25100.0055,1614.6315,662.89,,29219.2173,1671.0629,377.69
25110.0122,1614.7203,441.38,,29235.3668,1671.248,377.69
25119.9995,1614.8065,510.40,,29235.3668,1671.248,378.1
25129.9727,1614.8888,546.05,,29251.5164,1671.433,378.1
25139.9564,1614.9695,458.46,,NaN,NaN,NaN
25149.9709,1615.0505,532.15,,29303.1679,1671.9427,380.6
25159.9855,1615.1315,486.98,,29324.2009,1672.1441,380.6
25170.0000,1615.2125,533.01,,29324.2009,1672.1441,381.2
25179.9899,1615.2933,548.36,,29345.4423,1672.3456,381.2
25189.9954,1615.3733,657.36,,29345.4423,1672.3456,383.19
25200.0136,1615.4523,452.24,,29366.6836,1672.547,383.19
25210.0045,1615.5308,657.68,,NaN,NaN,NaN
25219.9955,1615.6093,557.27,,29416.1324,1673.0004,387.33
25229.9864,1615.6878,343.35,,29440.0426,1673.2121,387.33
25240.0091,1615.7665,468.95,,29440.0426,1673.2121,386.13
25250.0997,1615.8460,678.94,,29464.6774,1673.4238,386.13
25260.0906,1615.9280,556.85,,NaN,NaN,NaN
25270.0009,1616.0135,605.38,,29479.0285,1673.5471,393.2
25279.9950,1616.1008,501.24,,29489.0218,1673.633,393.2
25290.0177,1616.1883,681.06,,NaN,NaN,NaN
25300.0118,1616.2755,625.99,,29543.1607,1674.0914,393.48
25310.0059,1616.3628,672.03,,29568.5756,1674.3002,393.48
25320.0105,1616.4498,734.07,,29568.5756,1674.3002,388.89
25329.9782,1616.5358,411.54,,29594.7805,1674.5091,388.89
25339.9564,1616.6215,531.55,,29594.7805,1674.5091,384.04
25349.9636,1616.7075,614.03,,29620.9855,1674.718,384.04
25359.9709,1616.7935,573.08,,NaN,NaN,NaN
25369.9782,1616.8795,730.64,,29690.6861,1675.2254,384.14
25379.9670,1616.9650,581.49,,29720.3319,1675.4329,384.14
25389.9884,1617.0490,607.19,,29720.3319,1675.4329,384.18
25400.0191,1617.1315,838.78,,29750.5205,1675.6405,384.18
25410.0082,1617.2135,546.52,,29750.5205,1675.6405,383.86
25419.9973,1617.2955,563.55,,29780.7091,1675.848,383.86
25429.9864,1617.3775,619.92,,NaN,NaN,NaN
25439.9755,1617.4595,557.16,,29847.4587,1676.344,384.33
25449.9636,1617.5413,764.60,,29876.3496,1676.545,384.33
25459.9640,1617.6225,791.64,,29876.3496,1676.545,384.04
25469.9782,1617.7035,765.24,,29905.9539,1676.746,384.04
25479.9927,1617.7845,667.05,,29905.9539,1676.746,384.26
25490.0073,1617.8655,695.60,,29935.5582,1676.947,384.26
25500.0218,1617.9465,841.12,,NaN,NaN,NaN
25510.0356,1618.0275,793.68,,29992.9499,1677.3516,396.49
25520.0210,1618.1090,1094.30,,30022.4112,1677.5601,396.49
25529.9800,1618.1915,880.88,,NaN,NaN,NaN
25539.9700,1618.2748,834.79,,30050.0682,1677.7576,391.06
25549.9900,1618.3583,552.61,,30087.78,1678.027,391.06
25559.9800,1618.4415,762.96,,NaN,NaN,NaN
25569.9700,1618.5248,777.91,,30144.1614,1678.4399,395.09
25579.9994,1618.6083,705.74,,30168.1497,1678.6174,395.09
25590.0344,1618.6913,691.66,,30168.1497,1678.6174,392.2
25600.0445,1618.7735,602.61,,30190.0998,1678.7949,392.2
25610.0336,1618.8555,736.56,,30190.0998,1678.7949,389.34
25620.0227,1618.9375,740.96,,30212.0499,1678.9725,389.34
25630.0118,1619.0195,720.64,,30212.0499,1678.9725,387.8
25640.0009,1619.1015,852.93,,30234,1679.15,387.8
25649.9900,1619.1835,502.55,,NaN,NaN,NaN
25659.9791,1619.2655,734.19,,30293.95,1679.6349,387.55
25669.9682,1619.3475,869.95,,30318.3004,1679.8379,387.55
25679.9573,1619.4295,935.13,,30318.3004,1679.8379,385.87
25689.9768,1619.5118,873.82,,30342.2957,1680.041,385.87
25700.0268,1619.5943,651.34,,30342.2957,1680.041,387.52
25710.0460,1619.6765,1003.02,,30366.2909,1680.244,387.52
25720.0201,1619.7588,660.94,,NaN,NaN,NaN
25730.0100,1619.8418,439.44,,30416.3047,1680.702,393.33
25740.0300,1619.9253,597.15,,30438.9759,1680.9116,393.33
25750.0200,1620.0085,857.47,,30438.9759,1680.9116,394.12
25760.0100,1620.0918,758.01,,30461.4689,1681.1213,394.12
25770.0300,1620.1753,895.67,,30461.4689,1681.1213,389.89
25780.0294,1620.2585,809.81,,30483.9618,1681.331,389.89
25790.0344,1620.3413,704.60,,NaN,NaN,NaN
25800.0445,1620.4235,924.02,,30531.2575,1681.7649,399.54
25810.0336,1620.5055,871.69,,30556.0989,1681.9926,399.54
25820.0227,1620.5875,672.60,,30556.0989,1681.9926,399.16
25830.0118,1620.6695,685.88,,30580.9404,1682.2203,399.16
25840.0009,1620.7515,512.28,,30580.9404,1682.2203,401.69
25849.9962,1620.8338,648.53,,30605.7818,1682.448,401.69
25859.9785,1620.9165,444.90,,NaN,NaN,NaN
25869.9700,1620.9998,518.25,,30647.2106,1682.8408,406.06
25879.9900,1621.0833,923.80,,30665.8676,1683.0183,406.06
25890.0100,1621.1668,666.40,,30665.8676,1683.0183,406.99
25900.0300,1621.2503,564.33,,30683.9457,1683.1959,406.99
25910.0690,1621.3340,618.21,,30683.9457,1683.1959,410.9
25920.0672,1621.4203,887.65,,30702.0237,1683.3734,410.9
25930.0273,1621.5103,432.73,,30702.0237,1683.3734,413.97
25940.0091,1621.6018,446.13,,30720.1164,1683.551,413.97
25949.9909,1621.6933,426.27,,NaN,NaN,NaN
25959.9727,1621.7848,366.63,,30771.1849,1683.9899,414.45
25970.0262,1621.8770,389.97,,30777.8083,1684.0468,414.45
25980.0694,1621.9720,345.82,,NaN,NaN,NaN
25990.0250,1622.0703,243.53,,30791.0956,1684.1591,412.09
26000.0000,1622.1700,353.64,,30817.6078,1684.3801,412.09
26010.0250,1622.2703,254.62,,30817.6078,1684.3801,405.58
26020.0250,1622.3703,244.54,,30844.12,1684.601,405.58
26029.9563,1622.4688,279.36,,NaN,NaN,NaN
26039.9635,1622.5648,366.21,,30924.5991,1685.1971,391.78
26050.0027,1622.6585,372.49,,30960.5627,1685.4385,391.78
26059.9791,1622.7515,442.90,,30960.5627,1685.4385,389.82
26069.9823,1622.8448,550.52,,30996.5636,1685.68,389.82
26080.0123,1622.9383,539.92,,NaN,NaN,NaN
26090.0782,1623.0345,279.90,,31081.9864,1686.2083,391.22
26100.0786,1623.1373,215.61,,31114.3561,1686.4208,391.22
26110.0123,1623.2443,188.19,,31114.3561,1686.4208,387.56
26119.9805,1623.3518,263.30,,31144.8908,1686.6334,387.56
26129.9718,1623.4595,298.47,,31144.8908,1686.6334,385.46
26140.0241,1623.5688,289.54,,31175.4255,1686.846,385.46
26150.0345,1623.6808,250.75,,NaN,NaN,NaN
26159.9964,1623.7948,313.12,,31229.9505,1687.2304,392.51
26169.9891,1623.9093,358.73,,31266.0796,1687.4738,392.51
26179.9818,1624.0238,297.84,,NaN,NaN,NaN
26189.9674,1624.1360,237.75,,31294.9876,1687.6505,394.18
26199.9888,1624.2433,315.03,,31339.9091,1687.925,394.18
26210.0077,1624.3473,447.36,,NaN,NaN,NaN
26219.9814,1624.4508,328.14,,31415.1107,1688.3798,395.72
26229.9791,1624.5545,296.31,,31453.4604,1688.6005,395.72
26240.0009,1624.6585,334.59,,31453.4604,1688.6005,393.45
26250.0227,1624.7625,345.82,,31493.9956,1688.8213,393.45
26260.0205,1624.8663,261.62,,31493.9956,1688.8213,394.09
26269.9941,1624.9698,263.15,,31534.5309,1689.042,394.09
26279.9918,1625.0735,246.21,,NaN,NaN,NaN
26289.9560,1625.1768,357.65,,31608.8021,1689.4806,399.43
26299.9446,1625.2775,267.15,,31641.8005,1689.702,399.43
26309.9805,1625.3753,344.44,,31641.8005,1689.702,397.86
26319.9814,1625.4718,348.79,,31669.5866,1689.9235,397.86
26329.9823,1625.5683,304.08,,31669.5866,1689.9235,400.58
26339.9832,1625.6648,352.84,,31697.3727,1690.145,400.58
26350.0282,1625.7620,376.34,,NaN,NaN,NaN
26360.0364,1625.8605,381.62,,31748.3952,1690.5297,408.85
26370.0000,1625.9600,336.19,,31775.9955,1690.7518,408.85
26380.0000,1626.0600,331.57,,NaN,NaN,NaN
26389.9750,1626.1598,415.89,,31804.682,1691.0495,404.94
26399.9735,1626.2598,346.02,,31820.9164,1691.218,404.94
26410.0003,1626.3618,315.72,,NaN,NaN,NaN
26420.0145,1626.4665,327.63,,31863.6731,1691.809,411.13
26430.0127,1626.5723,370.94,,31876.9663,1691.9874,411.13
26439.9873,1626.6778,334.48,,31876.9663,1691.9874,411.11
26449.9855,1626.7835,400.23,,31890.2595,1692.1657,411.11
26459.9541,1626.8850,398.80,,31890.2595,1692.1657,413.36
26469.9668,1626.9770,304.43,,31903.5527,1692.344,413.36
26480.0255,1627.0635,352.23,,NaN,NaN,NaN
26490.0327,1627.1495,415.76,,31935.0538,1692.8116,421.97
26500.0400,1627.2355,416.96,,31947.9556,1693.0234,421.97
26510.0473,1627.3215,324.37,,31947.9556,1693.0234,419.06
26520.0866,1627.4083,386.39,,31959.8933,1693.2352,419.06
26530.0493,1627.4975,211.82,,31959.8933,1693.2352,419.39
26539.9914,1627.5898,NaN,,31971.8309,1693.447,419.39
26550.0214,1627.6833,NaN,,NaN,NaN,NaN
26560.0245,1627.7765,316.78,,31995.8064,1693.8865,436.05
26570.0009,1627.8695,260.55,,32006.8584,1694.099,436.05
26579.9773,1627.9625,304.77,,32006.8584,1694.099,435.27
26589.9805,1628.0558,277.88,,32017.291,1694.3115,435.27
26600.0105,1628.1493,238.91,,32017.291,1694.3115,439.2
26610.0136,1628.2425,298.22,,32027.7236,1694.524,439.2
26619.9900,1628.3355,313.39,,NaN,NaN,NaN
26629.9932,1628.4288,305.79,,32045.9904,1694.8615,458.78
26640.0169,1628.5220,239.72,,32057.6542,1695.0753,458.78
26650.0128,1628.6143,259.29,,32057.6542,1695.0753,459.45
26659.9909,1628.7058,313.24,,32068.6301,1695.2892,459.45
26670.0000,1628.7975,274.38,,32068.6301,1695.2892,459.17
26680.0091,1628.8893,284.87,,32079.5164,1695.503,459.17
26689.9909,1628.9808,265.34,,NaN,NaN,NaN
26700.0501,1629.0743,251.18,,32109.455,1696.125,463.3
26710.0728,1629.1723,281.93,,32119.2246,1696.3317,463.3
26720.0345,1629.2735,276.10,,32119.2246,1696.3317,462.77
26730.0245,1629.3753,349.45,,32128.9941,1696.5383,462.77
26739.9900,1629.4768,309.04,,32128.9941,1696.5383,461.96
26749.9457,1629.5780,189.53,,32138.7636,1696.745,461.96
26759.9666,1629.6773,313.57,,NaN,NaN,NaN
26770.0236,1629.7735,287.39,,32155.4092,1697.1602,481.21
26780.0155,1629.8683,353.11,,32162.4956,1697.3457,481.21
26789.9809,1629.9628,334.33,,NaN,NaN,NaN
26799.9727,1630.0575,294.76,,32167.3452,1697.4939,471.26
26810.0207,1630.1530,271.80,,32172.8944,1697.6634,471.26
26820.0443,1630.2498,456.75,,32172.8944,1697.6634,474.09
26830.0182,1630.3475,308.10,,32178.4436,1697.833,474.09
26839.9964,1630.4455,261.98,,NaN,NaN,NaN
26849.9745,1630.5435,272.21,,32194.5896,1698.3264,484.71
26859.9782,1630.6418,360.23,,32202.0616,1698.5326,484.71
26870.0188,1630.7415,319.74,,32202.0616,1698.5326,483.08
26880.0329,1630.8438,296.24,,32209.9354,1698.7388,483.08
26890.0077,1630.9473,259.32,,32209.9354,1698.7388,480.85
26899.9814,1631.0508,281.47,,32217.8091,1698.945,480.85
26909.9791,1631.1545,283.60,,NaN,NaN,NaN
26919.9304,1631.2570,319.66,,32237.4967,1699.3624,485.52
26929.9190,1631.3558,246.09,,32248.9247,1699.5903,485.52
26939.9764,1631.4515,286.47,,32248.9247,1699.5903,483.83
26949.9945,1631.5465,271.19,,32261.3533,1699.8181,483.83
26960.0127,1631.6415,244.26,,32261.3533,1699.8181,487.82
26970.0309,1631.7365,199.96,,32273.7818,1700.046,487.82
26980.0470,1631.8318,226.09,,NaN,NaN,NaN
26990.0302,1631.9275,233.83,,32299.4388,1700.4872,488.36
27000.0068,1632.0238,227.63,,32310.2059,1700.6625,488.36
27010.0077,1632.1203,247.63,,NaN,NaN,NaN
27020.0086,1632.2168,200.39,,32328.2,1700.93,483.26
27030.0344,1632.3135,251.63,,32341.8564,1701.133,483.26
27040.0549,1632.4113,244.90,,NaN,NaN,NaN
27050.0500,1632.5105,221.66,,32374.869,1701.5395,484.24
27060.0500,1632.6105,228.50,,32394.3854,1701.7717,484.24
27070.0500,1632.7105,252.34,,32394.3854,1701.7717,481.62
27080.0250,1632.8103,275.49,,32415.0691,1702.0038,481.62
27089.9353,1632.9085,274.63,,32415.0691,1702.0038,479.55
27099.9530,1633.0033,249.73,,32435.7527,1702.236,479.55
27110.0264,1633.0945,151.13,,NaN,NaN,NaN
27120.0082,1633.1845,191.75,,32462.8832,1702.5664,459.92
27129.9900,1633.2745,235.00,,32488.3577,1702.8448,459.92
27139.9718,1633.3645,197.66,,NaN,NaN,NaN
27150.0191,1633.4555,310.35,,32516.961,1703.0465,417.32
27160.0381,1633.5490,212.40,,32538.2678,1703.1968,417.32
27170.0014,1633.6448,190.84,,32538.2678,1703.1968,402.36
27180.0023,1633.7413,259.79,,32559.5745,1703.347,402.36
27190.0032,1633.8378,237.44,,NaN,NaN,NaN
27200.0041,1633.9343,257.14,,32620.7098,1703.7572,398.82
27210.0023,1634.0310,302.67,,32652.6386,1703.977,398.82
27219.9910,1634.1285,331.43,,NaN,NaN,NaN
27229.9709,1634.2265,299.66,,32673.2319,1704.126,398.59
27239.9745,1634.3248,289.70,,32695.2014,1704.285,398.59
27250.0036,1634.4233,397.04,,32695.2014,1704.285,401.53
27259.9850,1634.5213,357.02,,32717.1709,1704.444,401.53
27269.9559,1634.6180,270.40,,NaN,NaN,NaN
27279.9691,1634.7135,239.68,,32789.4409,1704.981,405.23
27289.9873,1634.8085,309.21,,32815.5351,1705.1703,405.23
27300.0055,1634.9035,320.77,,32815.5351,1705.1703,403.7
27310.0236,1634.9985,351.11,,32841.6985,1705.3597,403.7
27320.0534,1635.0938,295.28,,32841.6985,1705.3597,404.88
27330.0425,1635.1900,310.83,,32867.8618,1705.549,404.88
27340.0000,1635.2875,250.91,,NaN,NaN,NaN
27349.9782,1635.3855,320.73,,32914.3055,1705.9301,420.58
27359.9818,1635.4838,279.79,,32944.4155,1706.1762,420.58
27370.0109,1635.5823,376.10,,32944.4155,1706.1762,417.14
27379.9929,1635.6793,284.48,,32974.8344,1706.4222,417.14
27389.9983,1635.7733,304.49,,NaN,NaN,NaN
27400.0273,1635.8653,282.75,,33053.707,1707.0998,422.89
27410.0091,1635.9568,304.02,,33074.003,1707.29,422.89
27419.9909,1636.0483,235.53,,NaN,NaN,NaN
27429.9727,1636.1398,252.78,,33096.262,1707.5126,423.62
27440.0473,1636.2355,271.42,,33115.9,1707.709,423.62
27450.0692,1636.3408,219.47,,NaN,NaN,NaN
27460.0186,1636.4523,257.03,,33168.4622,1708.2529,431.08
27470.0191,1636.5645,227.91,,33186.861,1708.4466,431.08
27479.9973,1636.6765,224.81,,33186.861,1708.4466,436.79
27490.0400,1636.7968,206.40,,33205.1741,1708.6403,436.79
27500.0432,1636.9345,204.52,,33205.1741,1708.6403,445.11
27510.0045,1637.0825,128.66,,33223.4873,1708.834,445.11
27520.0778,1637.2325,120.95,,NaN,NaN,NaN
27530.0751,1637.3893,131.11,,33266.34,1709.3047,454.45
27540.0145,1637.5565,61.66,,33284.6316,1709.5152,454.45
27550.0218,1637.7285,72.06,,33284.6316,1709.5152,454.23
27560.0209,1637.9018,69.25,,33302.2303,1709.7256,454.23
27570.0045,1638.0775,77.24,,33302.2303,1709.7256,457.42
27579.9950,1638.2548,63.54,,33319.8291,1709.936,457.42
27589.9922,1638.4310,62.59,,NaN,NaN,NaN
27599.9899,1638.6045,73.39,,33353.7932,1710.3338,475.18
27609.9964,1638.7765,79.89,,33373.1156,1710.5703,475.18
27620.0036,1638.9485,64.56,,NaN,NaN,NaN
27630.0109,1639.1205,94.85,,33381.6996,1710.6884,476.79
27640.0182,1639.2925,75.95,,33394.6316,1710.8662,476.79
27650.0742,1639.4665,70.90,,33394.6316,1710.8662,478.66
27660.0592,1639.6470,60.69,,33407.5636,1711.044,478.66
27670.0009,1639.8345,58.79,,NaN,NaN,NaN
27680.1205,1640.0303,51.16,,33437.0004,1711.5057,487.05
27690.1137,1640.2415,61.41,,33448.2061,1711.6895,487.05
27699.9199,1640.4645,74.85,,33448.2061,1711.6895,484.81
27709.9149,1640.6798,67.23,,33458.8976,1711.8732,484.81
27719.9955,1640.8775,76.40,,33458.8976,1711.8732,485.79
27729.7105,1641.0605,144.48,,33469.5891,1712.057,485.79
27739.7045,1641.2135,212.99,,NaN,NaN,NaN
27749.9818,1641.3275,424.28,,33499.4445,1712.6302,486.08
27759.9855,1641.4258,290.20,,33510.1238,1712.8351,486.08
27770.0145,1641.5243,240.93,,33510.1238,1712.8351,483.34
27780.0182,1641.6225,228.08,,33520.9301,1713.0401,483.34
27790.0247,1641.7210,297.45,,33520.9301,1713.0401,482.58
27800.0210,1641.8203,316.62,,33531.7364,1713.245,482.58
27810.0000,1641.9200,498.60,,NaN,NaN,NaN
27820.0250,1642.0203,233.26,,33560.8381,1713.7032,485.67
27830.0250,1642.1203,250.12,,33573.2282,1713.8816,485.67
27839.9563,1642.2195,389.17,,NaN,NaN,NaN
27849.9426,1642.3170,329.98,,33579.8833,1713.9687,482.55
27859.9877,1642.4118,349.89,,33593.5253,1714.1474,482.55
27870.0177,1642.5053,373.12,,33593.5253,1714.1474,484.56
27880.0209,1642.5985,355.75,,33607.1673,1714.326,484.56
27889.9973,1642.6915,441.18,,NaN,NaN,NaN
27900.0530,1642.7855,406.40,,33647.5968,1714.8325,490.38
27910.0594,1642.8830,457.25,,33664.2342,1715.0373,490.38
27919.9850,1642.9848,440.39,,33664.2342,1715.0373,477.44
27929.9827,1643.0885,379.30,,33680.9944,1715.2422,477.44
27940.0045,1643.1925,335.93,,33680.9944,1715.2422,471.41
27950.0264,1643.2965,416.27,,33697.7545,1715.447,471.41
27960.0232,1643.3980,461.59,,NaN,NaN,NaN
27969.9918,1643.4948,497.43,,33748.574,1715.8986,419.43
27979.9836,1643.5895,379.66,,33773.5625,1716.1148,419.43
27990.0018,1643.6845,378.94,,33773.5625,1716.1148,413.12
28000.0200,1643.7795,388.13,,33799.104,1716.3309,413.12
28010.0151,1643.8743,360.10,,33799.104,1716.3309,410.96
28020.0188,1643.9680,454.69,,33824.6455,1716.547,410.96
28030.0273,1644.0603,461.63,,NaN,NaN,NaN
