depth_m,age_ice_calBP,age_gas_calBP
150.968,526,327.3
151.138,527,328.3
151.415,528,329.4
151.581,529,330.4
151.827,530,331.5
152.047,531,332.5
152.275,532,333.5
152.617,533,334.6
152.779,534,335.6
153.065,535,336.7
153.228,536,337.7
153.462,537,338.8
153.732,538,339.9
153.932,539,340.9
154.167,540,342
154.429,541,343.1
154.672,542,344.1
154.938,543,345.2
155.208,544,346.3
155.464,545,347.3
155.76,546,348.4
156.069,547,349.4
156.373,548,350.5
156.597,549,351.5
156.747,550,352.6
156.951,551,353.6
157.195,552,354.7
157.487,553,355.7
157.692,554,356.7
157.915,555,357.8
158.119,556,358.8
158.373,557,359.8
158.677,558,360.9
158.89,559,361.9
159.12,560,362.9
159.402,561,364
159.603,562,365
159.857,563,366
160.058,564,367.1
160.188,565,368.1
160.393,566,369.1
160.616,567,370.1
160.778,568,371.1
161.013,569,372.1
161.279,570,373.1
161.433,571,374.1
161.669,572,375.1
161.925,573,376.1
162.067,574,377.1
162.36,575,378.1
162.568,576,379.1
162.796,577,380.1
163.056,578,381.1
163.368,579,382.1
163.568,580,383.1
163.814,581,384.1
164.107,582,385
164.315,583,386
164.619,584,387
164.778,585,388
165.024,586,389
165.221,587,390
165.4,588,391
165.595,589,392
165.857,590,393.1
166.107,591,394.1
166.254,592,395.1
166.504,593,396.1
166.712,594,397.1
166.909,595,398.1
167.063,596,399.1
167.333,597,400.1
167.56,598,401
167.826,599,402
168.023,600,403
168.347,601,404
168.666,602,405
168.809,603,406
168.994,604,406.9
169.209,605,407.9
169.429,606,408.9
169.664,607,409.9
169.861,608,410.9
170.15,609,411.9
170.296,610,412.9
170.519,611,413.8
170.811,612,414.8
170.962,613,415.8
171.177,614,416.8
171.428,615,417.8
171.678,616,418.8
171.909,617,419.8
172.14,618,420.8
172.349,619,421.8
172.591,620,422.7
172.823,621,423.7
173.011,622,424.7
173.281,623,425.7
173.477,624,426.7
173.67,625,427.7
173.851,626,428.7
174.09,627,429.7
174.305,628,430.8
174.464,629,431.8
174.733,630,432.8
174.956,631,433.8
175.153,632,434.8
175.431,633,435.8
175.716,634,436.9
175.938,635,437.9
176.18,636,438.9
176.404,637,439.9
176.57,638,441
176.816,639,442
177.148,640,443
177.378,641,444.1
177.53,642,445.1
177.822,643,446.1
178.069,644,447.2
178.304,645,448.2
178.57,646,449.2
178.784,647,450.2
179.016,648,451.3
179.309,649,452.3
179.524,650,453.3
179.755,651,454.3
180.01,652,455.4
180.225,653,456.4
180.433,654,457.4
180.661,655,458.4
180.898,656,459.4
181.076,657,460.4
181.295,658,461.4
181.507,659,462.4
181.699,660,463.4
181.993,661,464.4
182.223,662,465.4
182.469,663,466.4
182.664,664,467.4
182.854,665,468.4
183.046,666,469.4
183.266,667,470.4
183.589,668,471.4
183.836,669,472.3
184.052,670,473.3
184.259,671,474.3
184.449,672,475.3
184.638,673,476.3
184.811,674,477.3
185.038,675,478.3
185.234,676,479.3
185.46,677,480.3
185.744,678,481.3
185.93,679,482.3
186.127,680,483.3
186.368,681,484.3
186.685,682,485.3
186.893,683,486.3
187.134,684,487.3
187.32,685,488.3
187.528,686,489.3
187.779,687,490.3
187.987,688,491.4
188.173,689,492.4
188.381,690,493.4
188.665,691,494.5
188.917,692,495.5
189.114,693,496.5
189.377,694,497.6
189.672,695,498.6
189.902,696,499.7
190.109,697,500.7
190.285,698,501.7
190.525,699,502.7
190.755,700,503.8
190.963,701,504.8
191.149,702,505.8
191.379,703,506.9
191.674,704,507.9
191.98,705,509
192.254,706,510
192.527,707,511
192.757,708,512.1
192.998,709,513.1
193.217,710,514.1
193.414,711,515.1
193.654,712,516.2
193.873,713,517.2
194.114,714,518.2
194.322,715,519.3
194.595,716,520.3
194.847,717,521.3
195.011,718,522.4
195.274,719,523.4
195.471,720,524.4
195.799,721,525.5
196.018,722,526.5
196.193,723,527.5
196.39,724,528.6
196.619,725,529.6
196.86,726,530.7
197.024,727,531.7
197.309,728,532.7
197.506,729,533.8
197.801,730,534.8
198.064,731,535.9
198.239,732,536.9
198.457,733,537.9
198.775,734,539
198.972,735,540
199.169,736,541.1
199.355,737,542.1
199.584,738,543.1
199.913,739,544.2
200.186,740,545.2
200.394,741,546.2
200.678,742,547.3
200.919,743,548.3
201.269,744,549.4
201.51,745,550.4
201.762,746,551.5
201.959,747,552.5
202.167,748,553.6
202.407,749,554.6
202.692,750,555.7
202.856,751,556.8
202.998,752,557.8
203.282,753,558.9
203.468,754,559.9
203.764,755,561
203.994,756,562
204.212,757,563.1
204.453,758,564.1
204.748,759,565.1
204.945,760,566.2
205.153,761,567.2
205.438,762,568.2
205.722,763,569.3
205.941,764,570.3
206.138,765,571.3
206.28,766,572.3
206.554,767,573.3
206.805,768,574.3
207.013,769,575.4
207.254,770,576.4
207.473,771,577.4
207.757,772,578.4
207.976,773,579.4
208.184,774,580.4
208.359,775,581.4
208.589,776,582.4
208.808,777,583.4
208.961,778,584.4
209.147,779,585.5
209.398,780,586.5
209.65,781,587.5
209.88,782,588.5
210.099,783,589.5
210.35,784,590.5
210.547,785,591.5
210.7,786,592.5
211.029,787,593.6
211.237,788,594.6
211.455,789,595.6
211.707,790,596.6
211.871,791,597.6
212.156,792,598.7
212.374,793,599.7
212.615,794,600.7
212.878,795,601.7
213.042,796,602.8
213.337,797,603.8
213.567,798,604.9
213.808,799,605.9
214.114,800,607
214.3,801,608
214.53,802,609.1
214.759,803,610.1
214.978,804,611.1
215.317,805,612.2
215.536,806,613.3
215.843,807,614.4
216.018,808,615.4
216.226,809,616.5
216.521,810,617.6
216.74,811,618.6
216.915,812,619.7
217.156,813,620.7
217.407,814,621.8
217.582,815,622.8
217.878,816,623.9
218.086,817,624.9
218.315,818,625.9
218.611,819,627
218.873,820,628
219.158,821,629.1
219.42,822,630.1
219.639,823,631.1
219.913,824,632.2
220.142,825,633.2
220.339,826,634.2
220.536,827,635.2
220.744,828,636.2
221.007,829,637.2
221.171,830,638.2
