Mean Depth,Offset corected,ice age,gas age
2177.326,652.7888844,13855.04728,13586.30191
2179.32,653.4548604,13878.77765,13608.28013
2179.325,656.0116358,13878.83586,13608.33459
2181.325,666.7149575,13901.29397,13630.24787
2183.422,670.8384592,13926.61037,13654.00728
2185.323,677.367425,13949.19231,13675.35719
2187.32,670.5703637,13973.70413,13698.47518
2189.322,656.2454869,13996.09121,13720.88605
2191.321,652.2344996,14019.61717,13744.18027
2191.321,653.1813205,14019.61717,13744.18027
2195.278,655.1107631,14066.75325,13791.16955
2195.413,658.1364137,14068.34711,13792.75954
2197.322,661.7111669,14091.63569,13815.3371
2198.315,654.5022812,14104.05612,13827.33055
2198.32,652.5284021,14104.1199,13827.39533
2199.321,646.5749562,14115.78778,13839.24662
2200.321,638.5717125,14127.83226,13851.56915
2201.32,620.38867,14139.76498,13863.82462
2202.321,601.8751585,14150.34372,13875.42214
2204.322,588.8964756,14172.36297,13899.30887
2205.32,576.8744872,14184.18736,13911.84063
2206.321,576.0937585,14195.63805,13923.66762
2207.32,571.8093151,14207.1857,13935.45112
2208.318,573.3344842,14218.87059,13947.28645
2209.321,582.1696377,14231.17305,13959.71638
2210.32,604.9937275,14242.93973,13971.62854
2211.321,633.1113153,14254.72868,13983.64316
2212.32,633.2543211,14265.93644,13994.9557
2214.315,648.143868,14289.53177,14018.71121
2214.32,648.4499381,14289.58751,14018.76784
2215.377,649.7413234,14302.27785,14031.61731
2216.322,643.6595353,14313.78316,14043.09343
2217.32,628.4663047,14325.39365,14054.87131
2218.318,625.9597777,14337.01389,14066.88616
2219.314,627.1688617,14348.38636,14078.75991
2219.319,630.4185926,14348.44318,14078.81944
2220.319,621.141623,14359.51488,14090.41906
2221.319,621.847108,14370.6689,14102.65397
2222.318,638.3834314,14381.6805,14114.61889
2224.321,637.6389869,14404.76907,14138.15228
2225.245,630.3709338,14414.76554,14148.43689
2226.272,619.5731935,14427.02182,14161.08861
2227.321,612.9806002,14438.27761,14172.73644
2228.403,612.587818,14449.58991,14185.52254
2229.322,614.8395464,14458.99796,14196.31759
2230.317,616.0285561,14468.99699,14207.42114
2230.322,616.8053119,14469.04714,14207.47663
2231.321,620.7074577,14479.64781,14219.20463
2232.321,624.6792853,14490.42938,14230.18715
2234.318,614.016256,14514.33114,14253.58731
2235.274,620.5490553,14524.96045,14263.70878
2235.319,620.7579775,14525.46893,14264.19162
2236.318,626.0102364,14537.06856,14275.20648
2237.319,632.9400249,14549.11622,14286.77461
2238.252,631.7242246,14559.21758,14296.50836
2238.297,633.2559,14559.69989,14296.97312
2239.32,629.8903589,14571.94377,14308.44034
2240.32,620.809196,14583.58193,14319.57991
2241.32,618.6610473,14594.03946,14330.08969
2242.321,627.4480601,14604.9536,14340.87074
2244.321,637.1254563,14628.33948,14363.347
2245.319,626.4574693,14639.55703,14374.00647
2246.321,623.1893694,14651.50943,14385.28688
2247.321,623.1773451,14662.67654,14395.80356
2248.374,622.1594801,14675.24968,14407.57364
2249.302,623.6381649,14686.51462,14418.45833
2250.323,620.6242446,14697.84165,14429.65177
2251.323,619.6058762,14708.94972,14440.58361
2251.323,616.5181437,14708.94972,14440.58361
2252.323,610.5419393,14720.05889,14451.50428
2254.822,591.9806402,14748.78107,14479.234
2255.324,590.0810174,14754.40884,14484.73112
2256.323,583.8653157,14766.01954,14495.67351
2257.273,577.9132222,14778.44384,14506.98634
2258.254,576.0069642,14790.40146,14518.11077
2259.32,563.5168413,14803.09843,14530.0598
2260.32,531.3138491,14814.86658,14541.41946
2261.319,518.9202051,14826.74603,14552.78881
2262.321,502.0247281,14839.40789,14564.82769
2264.866,494.1721778,14868.47328,14594.06227
2265.323,491.1685338,14873.86912,14599.30085
2266.323,490.8377839,14885.676,14610.60962
2267.323,487.6330376,14898.21656,14622.44439
2268.323,482.9681424,14909.75057,14633.7567
2269.3225,486.0792929,14922.38358,14646.1142
2270.322,482.9181365,14935.06024,14658.00386
2271.431,482.7968356,14948.62471,14671.20922
2272.32,482.7093802,14959.00701,14681.5284
2274.319,487.7770881,14984.3758,14705.93342
2275.319,487.6836832,14997.02871,14717.85147
2276.316,486.1184013,15009.54717,14730.22444
2277.314,486.0185577,15021.49701,14742.21851
2278.315,488.0343817,15033.69759,14754.53809
2279.316,483.9234248,15046.54145,14767.10977
2280.316,485.9377487,15059.64474,14779.54471
